n,T (C),R (ohm)
1,-200,18
2,-190,22.77
3,-180,27.07
4,-170,31.76
5,-160,35.48
6,-150,39.44
7,-140,43.99
8,-130,48.31
9,-120,52.4
10,-110,56.08
11,-100,60.38
12,-90,64.22
13,-80,68.39
14,-70,72.45
15,-60,76.25
16,-50,80.21
17,-40,84.23
18,-30,88.32
19,-20,92.23
20,-10,96.22
21,0,100
22,10,103.84
23,20,107.75
24,30,111.51
25,40,115.55
26,50,119.29
27,60,123.08
28,70,126.91
29,80,131.09
30,90,134.72
31,100,138.59
32,110,142.15
33,120,145.93
34,130,150.06
35,140,153.45
36,150,157.67
37,160,160.71
38,170,164.85
39,180,168.22
40,190,172.26
41,200,175.9
42,210,179.25
43,220,182.89
44,230,186.35
45,240,190.21
46,250,194.2
47,260,197.24
48,270,201.23
49,280,205.1
50,290,207.96
51,300,212.6
52,310,215.97
53,320,218.47
54,330,222.7
55,340,226.53
56,350,229.56
57,360,233.4
58,370,236.84
59,380,239.69
60,390,244.04
61,400,246.83
62,410,250.19
63,420,254.69
64,430,257.3
65,440,260.17
66,450,263.69
67,460,267.08
68,470,271.17
69,480,273.91
70,490,278.25
71,500,281.08
72,510,283.91
73,520,287.02
74,530,290.32
75,540,294.55
76,550,297.32
77,560,300.84
78,570,303.54
79,580,306.38
80,590,310.93
81,600,312.88
82,610,316.72
83,620,319.15
84,630,323.56
85,640,325.38
86,650,330.06
87,660,332.6
88,670,336.65
89,680,338.67
90,690,343.21
91,700,345.16
92,710,347.47
93,720,351.15
94,730,354.79
95,740,356.33
96,750,361.11
97,760,362.62
98,770,367.51
99,780,370.51
100,790,372.43
101,800,375.59
102,810,379.39
103,820,381.81
104,830,385.36
105,840,388.62
106,850,389.95
